country,year,cereal_yield,fdi_perc_gdp,elec_access_perc,en_per_gdp,en_per_cap,co2_ttl,co2_per_cap,co2_per_gdp,other_ghg_ttl,ch4_ttl,n2o_ttl,nat_emerg,pop_urb_aggl_perc,prot_area_perc,gdp,gni_per_cap,under_5_mort_rate,pop_growth_perc,pop,urb_pop_growth_perc,urb_pop
LBY,2000.0,643.7,0.415970912651557,..,251.010813262581,3168.43379201172,49753.856,9.51100333021804,753.484162074079,178.2,11943.2,1238,..,19.5453079596245,0.111039188056,33896600870.7706,..,27.2,1.86904053498483,5231189,1.97380743822921,3996628.396
LBY,2001.0,607.9,-0.467974994184694,..,268.831656174471,3186.47814768262,51073.976,9.58000311743209,808.2302733156461,..,..,..,..,19.3149114729942,0.111039188056,28420321951.542,..,25.8,1.89585796672017,5331311,2.05280280667789,4079519.1772
LBY,2002.0,629.4,0.730753968253968,..,270.891903306301,3109.09993259473,47623.329,8.76348202056827,763.550987620099,..,..,..,..,19.0841016485493,0.111253678279,19842519685.0394,4720,24.7,1.91322551530712,5434293,2.0699244243624,4164842.1552
LBY,2003.0,554.5,0.594285714285714,..,245.685344007522,3124.97387684888,49167.136,8.87323332603028,697.613313927289,..,..,..,..,18.8499244368679,0.111253678279,24062500000,4790,23.5,1.94567498236368,5541062,2.10212873005309,4253319.1912
LBY,2004.0,552.4,1.06935483870968,..,247.947806797401,3227.43519712454,50318.574,8.9015356468665,683.860745751254,..,..,..,..,18.6093539180692,0.111253678279,33384615384.6154,4990,22.5,1.99642877735379,5652797,2.15263812960757,4345870.3336
LBY,2005.0,621.2,2.35909090909091,..,217.110590725586,3042.88431184311,52093.402,9.02877458811181,644.205425991293,280.3,14681.5,1285.1,..,18.362191230095,0.111253678279,44000000000,6460,21.3,2.04711790604861,5769709,2.20308362521328,4442675.93
LBY,2006.0,622.6,3.65410788381743,..,205.898653657033,2991.69270843054,53780.222,9.12497671257188,628.012500908213,..,..,..,..,18.104028377237,0.111253678279,56484375000,8410,20.4,2.12687853697702,5893738,2.36037196255591,4548786.9884
LBY,2007.0,625.3,6.53034246575342,..,196.340401412435,2959.05581438516,54201.927,8.99907854040135,597.1102959176729,..,..,..,..,17.8506149622127,0.111253678279,71803278688.5246,10470,19.4,2.17038422819806,6023053,2.40333373175465,4659433.8008
LBY,2008.0,621.9,4.41279533333333,..,204.020756654574,3125.96127890829,58330.969,9.48529648986441,619.0727249286219,..,..,..,..,17.6334147475779,0.111253678279,93167701863.354,12670,18.5,2.07960176671498,6149620,2.31200987648941,4768415.348
LCA,1991.0,..,13.383177669363,..,..,..,172.349,1.26727205882353,175.549295042429,..,..,..,..,..,14.2605494178,431470356.824403,2910,21.7,1.40690945605695,136000,1.61147831717123,39929.6
LCA,1992.0,..,8.56507535804887,..,..,..,205.352,1.49726943296075,195.441749543497,..,..,..,..,..,14.2609018073,477996270.0768,3290,20.9,0.842762237605424,137151,1.04691343348677,40349.8242
LCA,1993.0,..,6.94327363821941,..,..,..,227.354,1.62502501643937,210.954170185305,..,..,..,..,..,14.2612544557,492029620.940073,3360,20.2,1.99025538392331,139908,2.1939907243056,41244.8784
LCA,1994.0,..,6.28367793344869,..,..,..,264.024,1.85034585707378,241.546222091903,..,..,..,..,..,14.261607313,517566663.452036,3430,19.8,1.96823717370948,142689,2.17155827612758,42150.3306
LCA,1995.0,..,5.84008640692195,..,..,..,311.695,2.14316164387329,276.08160152150003,..,..,..,..,..,14.2619603439,560811083.429052,3570,19.4,1.9075565231599,145437,2.110465066217,43049.352
LCA,1996.0,..,3.25137332448907,..,..,..,330.03,2.24415552624063,277.299719004306,..,..,..,..,..,14.2623135581,566370360.367909,3770,19.1,1.1111262711886,147062,0.0241591176173937,43059.7536
LCA,1997.0,..,7.91281411429665,..,..,..,311.695,2.08260393142063,260.841287393023,..,..,..,..,..,14.2626669507,604411088.584974,3730,18.9,1.75518770468046,149666,0.656275657884483,43343.2736
LCA,1998.0,..,12.6832764665692,..,..,..,308.028,2.0271401495209,242.374171476332,..,..,..,..,..,14.2630205169,657529594.313535,3830,18.7,1.51585358227566,151952,0.404731135428649,43519.0528
LCA,1999.0,..,12.0073594059692,..,..,..,319.029,2.07561986428372,245.246051544736,..,..,..,..,..,14.2630205169,692507395.177286,4050,18.4,1.14574866730442,153703,0.0221414129158606,43528.6896
LCA,2000.0,..,7.59663302944381,..,..,..,330.03,2.11563117003,253.71506687711397,..,..,..,..,..,14.2630205169,707525925.49654,4130,18.1,1.48081960639862,155996,0.344443834816288,43678.88
LCA,2001.0,..,8.55943045687433,..,..,..,363.033,2.29917604514335,294.14677150999404,..,..,..,..,..,14.2630205169,687048136.01444,3940,17.9,1.21125558192589,157897,0.925132353822705,44084.8424
LCA,2002.0,..,7.3666869350029,..,..,..,326.363,2.05088196665682,256.46996186558005,..,..,..,..,..,14.2630205169,705003691.252889,4130,17.7,0.779740884049379,159133,0.492796641254088,44302.6272
LCA,2003.0,..,14.416661067981,..,..,..,359.366,2.23736770016187,276.783439167519,..,..,..,..,..,14.2630205169,738214801.777471,4290,17.4,0.93009962054039,160620,0.642329637778898,44588.112
LCA,2004.0,..,9.57416673534814,..,87.499919198291,738.761589322433,355.699,2.18980632133667,259.36361465760797,..,..,..,..,..,14.2630205169,799237022.922002,4650,17.1,1.12304386605088,162434,0.834443377137392,44961.7312
LCA,2005.0,..,9.11752514213708,..,85.9584046617028,746.399985436098,366.7,2.22524288340989,256.267861702816,..,..,..,..,..,14.2630205169,858055540.401748,4950,17,1.44062389127905,164791,1.1511880886426,45482.316
LCA,2006.0,..,25.12899115179,..,78.5418362613321,713.266761768902,366.7,2.19794051714837,242.027658462441,..,..,..,..,..,14.2630205169,930935634.941596,5360,16.7,1.23452773903122,166838,1.52396354166767,46180.7584
LCA,2007.0,..,28.3858132049852,..,82.7012915566431,760.374959902102,385.035,2.28727322410864,248.772592144626,..,..,..,..,..,14.2630205169,957841412.224623,5390,16.5,0.895058127133064,168338,1.18365861604656,46730.6288
LCA,2008.0,..,16.3487575216687,..,..,..,396.036,2.32682367474563,253.735905054715,..,..,..,..,..,14.2630205169,986073137.020437,5430,16.2,1.10271454064236,170204.560104149,1.39048452340389,47384.9495329952
LIC,1991.0,1630.64753335725,0.254793702309208,..,362.779713741619,375.302024778283,335600.293117305,0.647484683912054,839.6686917568729,..,..,..,..,8.50649578236904,9.52599591045348,145353810597.967,281.664568933957,162.2983796404,2.6108756933541,518313871.286705,3.99476692673157,112830997.364327
LIC,1992.0,1562.32879451719,0.178943542301384,..,369.798872035267,353.99777435808,343641.368282571,0.646449889189041,876.163059689919,..,..,..,..,8.62437290538957,9.62407052447671,138116415677.254,275.519171353314,159.8344870752,2.55993632286572,531582376.344224,3.95763066111405,117296431.511258
LIC,1993.0,1599.0336711811,0.302789132158555,..,364.262962404251,336.626147549408,348730.089317485,0.639954419610825,881.843775192268,..,..,..,..,8.71633892338052,9.82629354781067,131604888473.829,262.075498657902,157.4136343976,2.51084278613713,544929574.09304,3.89358418629031,121863466.819664
LIC,1994.0,1532.04448776423,0.498997206363173,..,360.268365240468,325.017581261199,342353.550233243,0.613028681854406,858.519350226665,..,..,..,..,8.81177261301586,9.85948668736449,121968668543.801,240.296115443437,155.8613083904,2.48343256891006,558462532.613689,3.82942983979902,126530142.781869
LIC,1995.0,1509.62548478897,0.829991534343946,..,361.256603871507,323.461968532181,346829.072507867,0.606057835214105,832.584828859137,..,432705.4,228597.7,..,8.90286656331792,9.86626984040726,139655040291.761,242.458439922822,152.7917591929,2.47251204511197,572270586,3.77160295105143,131302357.381
LIC,1996.0,1569.12860734248,0.83670595640352,..,355.054543433421,316.650067856575,351782.827869746,0.600088494741683,804.614327883153,..,..,..,..,9.00226379237438,9.91247427393996,156105724309.738,255.687508175533,149.3261795346,2.43725003572844,586218251.061748,3.78993091127209,136278626.010611
LIC,1997.0,1535.64855733858,1.30789689642024,..,348.851924483357,312.669190540276,329805.365328848,0.549339433086992,724.370379279859,..,..,..,..,9.10666342889693,9.96069397684105,162782710492.225,267.691230857022,146.3434391707,2.41359376567351,600367178.222615,3.72483266422626,141354776.786613
LIC,1998.0,1601.99749769758,1.75353202847954,..,348.379039647865,311.360775540172,161532.143103057,0.262784441929646,342.34929657334703,..,..,..,..,9.21740340725133,9.98311333278872,166349955979.872,267.096715634755,143.1133191548,2.38642146245705,614694469.417267,3.67075680505215,146543566.874774
LIC,1999.0,1711.39728251718,1.68081863081377,..,342.641866741903,314.691829898052,172432.611471735,0.274070208347653,350.154094812441,..,..,..,..,9.32774372450316,10.0537205754036,165223166305.412,266.298039401081,139.819127416,2.35245640855324,629154888.856096,3.62233693079266,151851868.61738
LIC,2000.0,1735.08430527442,1.51026203663558,..,345.033702891008,320.862515485281,179033.941,0.278128464380454,349.885165919733,..,405498.9,199839.4,..,9.48028094290645,10.0653318231093,164799150333.392,264.642058488786,136.5074315878,2.31336256011087,643709522.5,3.573428212986,157278186.1325
LIC,2001.0,1765.49382022876,1.632558944029,..,341.31292896629,324.330303413214,181787.858,0.276120661564619,337.058115072963,..,..,..,..,9.64535917222432,10.1159506821274,165890328851.336,261.740304262514,133.1517007732,2.27654138728528,658363836.193609,3.75945695481062,163190991.839458
LIC,2002.0,1781.1401096946,1.9659299174267,..,340.247537376741,325.069986389667,179609.66,0.266819550890641,321.735027190312,..,..,..,..,9.82792126379051,10.5089644738508,174503007315.215,258.563625282884,130.0506068184,2.24594065856007,673150297.271937,3.70517262910755,169237499.802263
LIC,2003.0,1730.33434028298,2.32862315492613,..,338.380917276382,329.965040157066,184387.761,0.267982655818443,314.433392555806,..,..,..,..,10.0198598601266,10.5162632603313,192047334230.675,274.681065845356,127.2011373838,2.21470086579316,688058562.733708,3.65094232417735,175416263.310923
LIC,2004.0,1760.27124620518,2.2184109722483,..,325.64827532055,332.902495301522,196848.227,0.279984912424936,313.898903542284,..,..,..,..,10.2056926084523,10.5166934502093,215504106025.568,308.800073100106,124.2941913211,2.18131194594268,703067266.3577,3.59540980192143,181723196.836169
LIC,2005.0,1840.60595108061,2.08747576997225,..,317.149285517667,341.204335272009,205263.992,0.28581952210679,306.16217446898196,..,436332.7,209159.2,..,10.3687584128834,10.5179876385567,238035761504.588,339.334626622254,121.5937995901,2.14662075433725,718159454.214286,3.53916145977833,188154674.182071
LIC,2006.0,1930.10547404113,2.18744029173118,..,308.84648773051,344.267731954471,218076.49,0.297389915123965,304.62021007826,..,..,..,..,10.5341216880975,10.5348111319238,260313951197.357,361.137676311841,118.542676411,2.10846074730568,733301564.409459,3.73439258492793,195181108.382922
LIC,2007.0,1966.94183374257,3.54119944103939,..,315.397586112084,356.008211420937,209811.072,0.280293507476383,274.55032294074397,..,..,..,..,10.7373348734253,10.585734412423,305657367649.827,395.526950888749,115.5525104564,2.07814118080579,748540606.198945,3.67687100488678,202357665.96407
LIC,2008.0,1969.96128171511,3.16663145959474,..,308.075951270788,363.51980999279,219121.585,0.286804777781425,270.21471775552703,..,..,..,..,10.806391074988,10.5857344099323,363879925992.954,441.691207888355,112.5399566166,2.06654508676721,764009535.318807,3.63926275591567,209721993.135241
LIE,1991.0,..,..,..,..,..,..,..,..,..,..,..,..,..,38.8846931959,1484160640.17108,47240,9.6,1.31607904102041,29370,0.84158230259785,4940.034
LIE,1992.0,..,..,..,..,..,..,..,..,..,..,..,..,..,38.8857574239,1631176617.19198,53970,9.2,1.31914647543625,29760,0.842387527088944,4981.824
LIE,1993.0,..,..,..,..,..,..,..,..,..,..,..,..,..,38.886815295,1673085622.79346,56370,8.8,1.31523743918356,30154,0.836194606920317,5023.6564
LIE,1994.0,..,..,..,..,..,..,..,..,..,..,..,..,..,38.8878662524,1948128895.93238,61740,8.4,1.30143675009113,30549,0.820088046936348,5065.0242
LIE,1995.0,..,..,..,..,..,..,..,..,..,..,..,..,..,38.888910416,2428524749.69396,69920,8,1.2750213385538,30941,0.791344458492426,5105.265
LIE,1996.0,..,..,..,..,..,..,..,..,..,..,..,..,..,38.8899469715,2504013003.9401,78640,7.6,1.24301011049238,31328,-0.468523111434424,5081.4016
LIE,1997.0,..,..,..,..,..,..,..,..,..,..,..,..,..,38.8909742669,2298390584.38482,80450,7.2,1.21198222021562,31710,-0.529355312304189,5054.574
LIE,1998.0,..,..,..,..,..,..,..,..,..,..,..,..,..,38.8919921945,2479698578.66241,78180,6.8,1.19123665715096,32090,-0.580961622790221,5025.294
LIE,1999.0,..,..,..,..,..,..,..,..,..,..,..,..,..,38.8919921945,2664105901.18863,79370,6.4,1.17721309929889,32470,-0.626959549217015,4993.886
LIE,2000.0,..,..,..,..,..,..,..,..,..,..,..,..,..,42.4411931929,2483890593.70545,79660,6,1.17264788469774,32853,-0.664674140964213,4960.803
LIE,2001.0,..,..,..,..,..,..,..,..,..,..,..,..,..,42.4411931929,2491800558.77674,68880,5.5,1.16808203371154,33239,0.37020546053105,4979.2022
LIE,2002.0,..,..,..,..,..,..,..,..,..,..,..,..,..,42.4411931929,2688617884.8748,65550,5,1.15756919578891,33626,0.353275315842853,4996.8236
LIE,2003.0,..,..,..,..,..,..,..,..,..,..,..,..,..,42.4411931929,3070803431.476,68790,4.5,1.12374023785576,34006,0.312924985013512,5012.4844
LIE,2004.0,..,..,..,..,..,..,..,..,..,..,..,..,..,42.4411931929,3454374260.73671,78880,4,1.05016249382745,34365,0.232719249871631,5024.163
LIE,2005.0,..,..,..,..,..,..,..,..,..,..,..,..,..,42.4411931929,3658356377.80983,92780,3.5,0.958580195949646,34696,0.134399706439288,5030.92
LIE,2006.0,..,..,..,..,..,..,..,..,..,..,..,..,..,42.4411931929,3988775843.87205,104210,3,0.858078760843791,34995,0.443427164658945,5053.278
LIE,2007.0,..,..,..,..,..,..,..,..,..,..,..,..,..,42.4411931929,4602346923.40322,111930,2.5,0.771413284422885,35266,0.355035167244921,5071.2508
LIE,2008.0,..,..,..,..,..,..,..,..,..,..,..,..,..,42.4411931929,4929414914.73469,119330,2.1,0.720474389509814,35521,0.302355313469722,5086.6072
LKA,1991.0,2925.8,0.537191399720341,..,155.049200644431,319.198413759759,4063.036,0.23160616971024,112.501660189698,..,..,..,..,..,19.5577264471,9000362581.58086,490,30.5,1.18016568985828,17542866,0.245579448034493,2989304.3664
LKA,1992.0,2957.7,1.26379157039996,..,152.39092275016,323.873047059073,5056.793,0.285035299152198,134.116724588844,..,..,..,..,..,19.5577765442,9703011635.86585,550,29.4,1.12273660654708,17740936,0.179333383211228,2994669.9968
